Airline,Airport,Age,Gender,TripPurpose,NoTripsLastYear,Destination,SeatClass,Airfare,Occupation,DepartureHr,Nationality,DepartureTime,OccupationCat,airlineCat,Inchoen,Gimpo,Male,Female,Southeast AsiaD,ChinaD,JapanD,Economy,Business,First,Leisure,BusinessPurpose,Study,OtherPurpose,HighLevelProfessionals,Service,SelfEmployed,NonWorking,KoreanMajor,KoreanLCForeign,Korea,ChinaN,JapanN,SoutheastAsiaN,OtherN,DepartureHourFilled
2.0,1,30.0,2.0,1,1,3.0,2.0,75.0,12,16,1,2,3,1,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,16.0
4.0,1,49.0,1.0,1,0,3.0,3.0,,3,20,1,3,2,2,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,20.0
1.0,1,50.0,2.0,1,0,3.0,1.0,,9,20,1,3,4,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,20.0
4.0,1,52.0,2.0,4,0,3.0,1.0,27.0,9,21,1,4,4,2,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,21.0
4.0,1,54.0,2.0,1,2,3.0,1.0,3.0,12,20,1,3,3,2,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,20.0
2.0,1,55.0,2.0,1,0,1.0,1.0,,12,20,1,3,3,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,20.0
1.0,1,60.0,2.0,1,1,3.0,1.0,,11,20,1,3,4,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,20.0
1.0,1,62.0,1.0,1,1,3.0,1.0,,11,20,1,3,4,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,20.0
4.0,1,64.0,2.0,1,2,3.0,1.0,3.0,12,20,1,3,3,2,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,20.0
3.0,1,27.0,2.0,1,4,3.0,1.0,60.0,12,17,1,2,3,2,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,17.0
3.0,1,25.0,2.0,1,0,3.0,1.0,53.0,3,17,1,2,2,2,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,17.0
3.0,1,24.0,2.0,1,2,3.0,1.0,50.0,2,17,1,2,1,2,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,17.0
3.0,1,28.0,1.0,1,2,3.0,1.0,23.0,2,17,1,2,1,2,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,17.0
3.0,1,29.0,1.0,1,1,3.0,1.0,30.0,2,19,1,3,1,2,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,19.0
2.0,1,25.0,2.0,1,0,3.0,1.0,,5,20,1,3,1,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,20.0
4.0,1,30.0,1.0,2,3,3.0,1.0,60.0,12,15,1,2,3,2,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,15.0
3.0,1,36.0,1.0,1,3,3.0,1.0,30.0,12,19,1,3,3,2,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,19.0
1.0,1,31.0,1.0,1,0,3.0,1.0,62.0,2,19,1,3,1,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,19.0
3.0,1,30.0,1.0,1,2,3.0,2.0,,2,19,1,3,1,2,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,19.0
2.0,1,31.0,2.0,1,0,2.0,1.0,,2,21,1,4,1,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,21.0
2.0,1,37.0,2.0,1,2,1.0,1.0,41.0,3,20,1,3,2,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,20.0
3.0,1,45.0,1.0,1,1,3.0,1.0,35.0,12,19,1,3,3,2,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,19.0
1.0,1,42.0,2.0,1,0,3.0,1.0,50.0,12,5,1,2,3,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,5.0
2.0,1,44.0,1.0,4,2,3.0,1.0,55.0,2,19,1,3,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,19.0
4.0,1,55.0,1.0,2,2,1.0,1.0,,2,20,1,3,1,2,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,20.0
4.0,1,52.0,1.0,2,3,1.0,1.0,,2,20,1,3,1,2,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,20.0
1.0,1,50.0,1.0,1,0,2.0,1.0,,2,20,1,3,1,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,20.0
2.0,1,30.0,2.0,1,0,3.0,1.0,,2,20,1,3,1,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,20.0
2.0,1,32.0,1.0,1,1,3.0,1.0,,2,20,1,3,1,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,20.0
4.0,1,47.0,2.0,1,0,3.0,3.0,,9,20,1,3,4,2,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,20.0
1.0,1,47.0,2.0,1,0,3.0,1.0,,2,20,1,3,1,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,20.0
2.0,1,47.0,2.0,1,1,3.0,1.0,,9,20,1,3,4,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,20.0
3.0,1,37.0,1.0,4,1,3.0,1.0,65.0,12,21,4,4,3,2,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,21.0
4.0,1,24.0,2.0,1,2,3.0,1.0,56.0,12,8,1,1,3,2,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,8.0
1.0,1,33.0,1.0,2,4,1.0,2.0,,1,7,2,3,1,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,7.0
1.0,1,30.0,1.0,2,9,3.0,1.0,53.0,12,20,1,3,3,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,20.0
3.0,1,30.0,1.0,1,1,3.0,1.0,40.0,2,20,1,3,1,2,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,20.0
1.0,1,50.0,2.0,1,2,3.0,1.0,,3,9,1,1,2,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,9.0
2.0,1,43.0,1.0,4,2,3.0,1.0,57.0,12,7,1,3,3,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,7.0
3.0,1,32.0,1.0,1,1,3.0,1.0,64.0,4,20,1,3,2,2,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,20.0
3.0,1,33.0,1.0,1,2,3.0,1.0,30.0,2,19,1,3,1,2,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,19.0
2.0,1,36.0,1.0,2,2,3.0,1.0,,12,19,4,3,3,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,19.0
3.0,1,33.0,1.0,1,3,3.0,1.0,50.0,2,21,4,4,1,2,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,21.0
4.0,1,30.0,1.0,1,1,3.0,1.0,30.0,12,21,4,4,3,2,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,21.0
4.0,1,29.0,1.0,1,1,3.0,1.0,30.0,5,21,4,4,1,2,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,21.0
2.0,1,22.0,1.0,3,0,3.0,1.0,50.0,8,21,4,4,4,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,21.0
1.0,1,44.0,1.0,2,2,3.0,1.0,89.0,12,,1,3,3,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,20.0
1.0,1,54.0,1.0,1,0,1.0,1.0,,12,21,1,4,3,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,21.0
2.0,1,40.0,2.0,1,0,3.0,1.0,,12,19,1,3,3,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,19.0
2.0,1,42.0,1.0,1,1,3.0,1.0,,12,19,1,3,3,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,19.0
1.0,1,31.0,2.0,2,5,3.0,1.0,60.0,2,17,1,2,1,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,17.0
1.0,1,21.0,1.0,1,2,3.0,1.0,60.0,8,17,1,2,4,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,17.0
4.0,1,44.0,1.0,1,2,3.0,1.0,50.0,3,18,4,3,2,2,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,18.0
3.0,1,24.0,2.0,1,1,3.0,1.0,,5,20,1,3,1,2,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,20.0
